URANOSCOPE;Uranoscopus scaber
PRAIRE;Venus verrucosa
ESPADON;Xiphias gladius
SAINT PIERRE;Zeus faber
SAINT PIERRE ARGENTÉ;Zeus faber
RAIE-RÂPE;
CHINCHARD D EUROPE;Trachurus trachurus
CREVETTE MEGALOPS;Penaeopsis serrata
GUITARRE BOUCLÉE;Raja clavata
MULLET PORC;Liza ramada
RENARD À GROS YEUX;Alopias superciliosus
CRAPAUD;Halobatrachus didactylus
